"Dewey classification","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","BL shelfmark","Topics","Genre","Languages","Notes"
"823.92","014909429","Monograph","Language material ; Text","Volume","GBA917742","9781405243872","","","","","Blyton, Enid [person] ; Waters, Erica-Jane [person]","The Island of Surprises","","Enid Blyton's the new adventures of the wishing-chair","1 [Enid Blyton's the new adventures of the wishing-chair]","England","London","Egmont","2009","","114 pages, illustrations, 20 cm","YK.2010.a.20275","Pixies--Juvenile fiction ; Magic--Juvenile fiction","Children's fiction","English",""
"823.92","014909430","Monograph","Language material ; Text","Volume","GBA917743","9781405243889","","","","","Blyton, Enid [person] ; Waters, Erica-Jane [person]","The Land of mythical creatures","","The new adventures of the wishing-chair","2 [The new adventures of the wishing-chair]","England","London","Egmont","2009","","114 pages, illustrations, 20 cm","YK.2010.a.20928","Pixies--Juvenile fiction ; Magic--Juvenile fiction","Children's fiction","English",""
"823.92","014909431","Monograph","Language material ; Text","Volume","GBA917744","9781405243896","","","","","Blyton, Enid [person] ; Waters, Erica-Jane [person]","Spellworld","","Enid Blyton's The new adventures of the wishing-chair","3 [Enid Blyton's The new adventures of the wishing-chair]","England","London","Egmont","2009","","114 pages, illustrations, 20 cm","YK.2010.a.22046","Jessica (Fictitious character)--Juvenile fiction ; Magic--Juvenile fiction ; Jack (Fictitious character)--Juvenile fiction ; Pixies--Juvenile fiction","Children's fiction","English",""
"823.92","014909473","Monograph","Language material ; Text","Volume","GBA917786","9781407109831","Webb, Holly","","person","","Webb, Holly [person]","Hamstermagic","","","","England","London","Scholastic","2009","","144 pages, 20 cm","YK.2009.a.24469","Pet shops--Juvenile fiction ; Lottie (Fictitious character : Webb)--Juvenile fiction ; Magic--Juvenile fiction","Children's fiction","English",""
"823.92","014910147","Monograph","Language material ; Text","Volume","GBA918460","9781844167111","Gee, Emily","","person","","Gee, Emily [person]","The Laurentine spy","","","","England","Nottingham","Solaris","2009","","410 pages, 18 cm","H.2009/3080","Women spies--Fiction ; Magic--Fiction","Fantasy ; Fiction","English",""
"823.92","014911538","Monograph","Language material ; Text","Volume","GBB041381","9781905823437","Segal, Andrew","","person","","Jessé, Grant [person] ; Scott, Peter David [person] ; Segal, Andrew [person]","Majesty the magician","","","","England","Penryn","Ecademy","2008","","1 volume (unpaged), chiefly colour illustrations, 22 cm","YK.2010.a.4772","Magic--Pictorial works--Juvenile fiction","Children's fiction ; Pictorial work ; Story in rhyme","English",""
"823.92","014915410","Monograph","Language material ; Text","Volume","GBA919764","9780722339435","Eldrett, Molly","","person","","Eldrett, Molly [person]","King Frog's magic train","","","","England","Ilfracombe","Arthur H. Stockwell","2009","","61 pages, colour illustrations, 22 cm","YK.2010.a.8276","Magic--Juvenile fiction","Children's fiction","English",""
"823.92","014918260","Monograph","Language material ; Text","Volume","GBB051371","9781906933531","Lyth, Chris","","person","","Lyth, Chris [person]","Summer holiday","","Parallels trilogy","book 1 [Parallels trilogy]","England","Coventry","Tamalino","2008","","95 pages, 22 cm","YK.2010.a.16034","","Realism","English",""
"823.92","014920392","Monograph","Language material ; Text","Volume","GBA922263","9780007309689","Waters, Summer","","person","","Waters, Summer [person]","The magic charm","","Silver dolphins","1 [Silver dolphins]","England","London","HarperCollins","2009","","154 pages, 20 cm","YK.2010.a.860","Magic--Juvenile fiction ; Dolphins--Juvenile fiction ; Charms--Juvenile fiction","Children's fiction","English","Necklace attached to front cover"
"823.92","014920393","Monograph","Language material ; Text","Volume","GBA922264","9780007309696","Waters, Summer","","person","","Waters, Summer [person]","Secret friends","","Silver dolphins","2 [Silver dolphins]","England","London","HarperCollins","2009","","157 pages, 20 cm","YK.2010.a.859","Magic--Juvenile fiction ; Dolphins--Juvenile fiction ; Charms--Juvenile fiction ; Shipwrecks--Juvenile fiction","Children's fiction","English",""
"823.92","014920415","Monograph","Language material ; Text","Volume","GBA922286","9780007317219","Bussell, Darcey","","person","","Bussell, Darcey [person]","Summer in Enchantia","","Magic ballerina","","England","London","HarperCollins","2009","","135 pages, illustrations, map, 20 cm","YK.2010.a.1044","Ballerinas--Juvenile fiction ; Ballet dancing--Juvenile fiction ; Rosa (Fictitious character : Bussell)--Juvenile fiction ; Magic--Juvenile fiction ; Enchantia (Imaginary place)--Juvenile fiction","Children's fiction","English",""
"823.92","014921788","Monograph","Language material ; Text","Volume","GBA923658","9780141325934","Bentley, Sue","1951-","person","","Bentley, Sue, 1951- [person]","A new friend","","Magic ponies","1 [Magic ponies]","England","London","Puffin","2009","","117 pages, illustrations, 20 cm","YK.2009.a.18499","Ponies--Juvenile fiction ; Magic--Juvenile fiction","Children's fiction","English",""
"823.92","014926014","Monograph","Language material ; Text","Volume","GBA924803","9780141324746","Bentley, Sue","1951-","person","","Swan, Angela, 1982- [person] ; Bentley, Sue, 1951- [person]","The perfect secret","","Magic puppy","14 [Magic puppy]","England","London","Puffin","2009","","114 pages, illustrations, 20 cm","YK.2010.a.22423","Magic--Juvenile fiction ; Puppies--Juvenile fiction ; Storm (Fictitious character : Bentley)--Juvenile fiction","Children's fiction","English",""
"823.92","014926664","Monograph","Language material ; Text","Volume","GBA925453","9780755347834 ; 9780755347841","Howard, Jonathan L.","","person","","Howard, Jonathan L. [person]","Johannes Cabal the necromancer","","","","England","London","Headline","2009","","335 pages, 24 cm","Nov.2009/1814","Devil--Fiction ; Life and death, Power over--Fiction ; Wagers--Fiction ; Magic--Fiction","Fantasy ; Fiction","English",""
"823.92","014927035","Monograph","Language material ; Text","Volume","GBA925824","9781846243073","Perkins, Marion","","person","","Perkins, Marion [person]","The stone cat","","","","England","Brighton","Book Guild","2009","","90 pages, colour illustrations, 25 cm","YK.2010.a.24625","Cats--Juvenile fiction ; Magic--Juvenile fiction ; Statues--Juvenile fiction","Children's fiction ; Fantasy","English",""
"823.92","014931478","Monograph","Language material ; Text","Volume","GBA927296","9780141324753","Bentley, Sue","1951-","person","","Swan, Angela, 1982- [person] ; Bentley, Sue, 1951- [person]","Spellbound at school","","Magic puppy","","England","London","Puffin","2009","","115 pages, illustrations, 20 cm","YK.2010.a.19988","Magic--Juvenile fiction ; Puppies--Juvenile fiction ; Storm (Fictitious character : Bentley)--Juvenile fiction","Children's fiction","English",""
